season,week,celebrity_name,ballroom_partner,judge_total,judge_percent,judge_rank,fan_vote_percent,combined_score,eliminated,method
3,1,Harry Hamlin,Ashly DelGrosso,17.0,0.08018867924528301,8,0.004378812427191609,0.04228374583623731,False,percentage
3,2,Harry Hamlin,Ashly DelGrosso,21.0,0.09130434782608696,7,0.0043478260869565175,0.04782608695652174,False,percentage
3,3,Harry Hamlin,Ashly DelGrosso,22.0,0.10628019323671498,4,0.002205505408081963,0.05424284932239847,True,percentage
3,1,Vivica A. Fox,Nick Kosovich,22.0,0.10377358490566038,3,2.1243586317137853e-18,0.05188679245283019,False,percentage
3,2,Vivica A. Fox,Nick Kosovich,24.0,0.10434782608695652,3,1.46416452009842e-18,0.05217391304347826,False,percentage
3,3,Vivica A. Fox,Nick Kosovich,27.0,0.13043478260869565,1,1.3891340334970526e-19,0.06521739130434782,False,percentage
3,4,Vivica A. Fox,Nick Kosovich,24.0,0.12121212121212122,4,5.585123495958043e-19,0.06060606060606061,True,percentage
3,1,Monique Coleman,Louis van Amstel,19.0,0.08962264150943396,6,2.6645317343284207e-06,0.04481265302058414,False,percentage
3,2,Monique Coleman,Louis van Amstel,26.0,0.11304347826086956,2,1.5370969026997582e-18,0.05652173913043478,False,percentage
3,3,Monique Coleman,Louis van Amstel,27.0,0.13043478260869565,1,1.3518645838178633e-18,0.06521739130434782,False,percentage
3,4,Monique Coleman,Louis van Amstel,24.0,0.12121212121212122,4,0.0,0.06060606060606061,False,percentage
3,5,Monique Coleman,Louis van Amstel,27.0,0.14917127071823205,1,9.643437558521095e-06,0.07459045707789529,False,percentage
3,6,Monique Coleman,Louis van Amstel,23.0,0.19491525423728814,4,0.0028558127107945743,0.09888553347404136,False,percentage
3,7,Monique Coleman,Louis van Amstel,27.0,0.2,4,0.002400374216329095,0.10120018710816456,False,percentage
3,8,Monique Coleman,Louis van Amstel,26.5,0.24311926605504589,4,0.004868381143190297,0.12399382359911809,True,percentage
